Provider,Beneficiaries_Count,Claims_Count,RenalDiseaseIndicator,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,is_inpatient,is_dead,is_claimcode,is_groupcode,is_deductible,ClaimPeriod_greater_DaysAdmitted,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,InscClaimAmtReimbursed,DeductibleAmtPaid,Age,Days_Admitted,Diseases_Count,Total_Physicians,Total_ClaimCodes,Total_ProcedureCodes,Claim_Period,PotentialFraud
PRV51015,7,8,3,4,7,4,3,4,7,8,7,3,3,1,0,0,0,0,8,1,1186.25,267.0,1445.0,263.75,87.5,0.0,71.625,0.0,6.375,1.625,3.125,0.0,0.375,0
PRV51016,6,6,1,2,4,4,3,2,2,5,5,2,3,1,0,0,2,0,6,1,0.0,0.0,878.3333333333334,295.0,28.333333333333332,0.0,70.5,0.0,5.5,1.1666666666666667,3.5,0.0,0.3333333333333333,0
PRV51017,420,515,85,216,294,215,58,159,210,351,386,184,128,47,0,5,122,0,515,64,3322.7184466019417,385.4601941747573,2370.990291262136,689.3009708737864,277.126213592233,2.0388349514563107,72.14368932038835,0.0,4.36504854368932,1.570873786407767,2.704854368932039,0.003883495145631068,1.3572815533980582,0
PRV51021,208,257,57,94,145,122,60,103,116,194,196,70,85,27,29,1,86,29,257,32,4886.964980544747,582.7859922178989,2695.0972762645915,770.0466926070039,1357.3151750972763,122.53696498054475,72.58365758754864,0.5369649805447471,4.715953307392996,1.5214007782101167,3.4280155642023344,0.08560311284046693,2.0,1
PRV51023,35,36,10,16,21,16,5,10,16,21,30,9,8,5,9,0,12,9,35,5,5320.277777777777,843.4444444444445,2475.5555555555557,769.4444444444445,1822.5,239.55555555555554,72.75,0.8888888888888888,4.361111111111111,1.8611111111111112,4.555555555555555,0.1388888888888889,3.6666666666666665,0
PRV51024,38,39,12,15,21,23,5,14,16,30,29,11,14,6,9,0,18,9,39,4,4566.666666666667,629.8461538461538,1973.076923076923,668.7179487179487,1642.3076923076924,248.76923076923077,68.02564102564102,1.0,4.717948717948718,1.641025641025641,3.5128205128205128,0.1794871794871795,1.641025641025641,0
PRV51025,76,87,19,28,47,40,13,28,41,64,62,31,26,6,13,0,29,13,87,8,4823.563218390805,552.4137931034483,2288.9655172413795,621.3793103448276,1360.344827586207,164.183908045977,73.51724137931035,1.0459770114942528,4.436781609195402,1.6781609195402298,3.67816091954023,0.13793103448275862,2.1724137931034484,0
PRV51026,56,76,12,30,33,30,11,15,39,56,50,17,23,6,0,1,11,0,76,5,3971.0526315789475,461.05263157894734,1811.578947368421,680.3947368421053,261.05263157894734,4.473684210526316,69.5657894736842,0.0,4.078947368421052,1.5526315789473684,2.4078947368421053,0.0,1.0921052631578947,0
PRV51027,44,53,16,23,36,27,9,16,30,41,43,10,13,8,0,1,8,0,53,10,6231.132075471698,705.2830188679245,3564.5283018867926,947.1698113207547,563.0188679245283,0.0,73.0,0.0,4.830188679245283,1.528301886792453,2.4716981132075473,0.0,2.1320754716981134,0
PRV51029,79,93,13,32,45,33,9,29,30,62,66,17,28,13,0,1,17,0,93,8,3849.032258064516,409.03225806451616,1660.967741935484,493.1182795698925,329.6774193548387,1.7204301075268817,70.91397849462365,0.0,3.913978494623656,1.5268817204301075,2.838709677419355,0.0,0.6989247311827957,0
PRV51030,145,171,47,73,111,81,30,65,76,125,138,48,59,13,82,2,103,82,170,12,7453.333333333333,1009.4035087719299,2499.1812865497077,665.672514619883,4326.081871345029,507.29824561403507,71.85380116959064,2.216374269005848,4.7894736842105265,1.5497076023391814,5.152046783625731,0.3333333333333333,3.198830409356725,0
PRV51031,157,185,39,90,128,89,19,71,81,130,151,85,54,19,28,1,62,28,185,17,6142.648648648648,709.9027027027028,1868.0,613.2432432432432,1944.4324324324325,163.48108108108107,72.63783783783784,0.8378378378378378,4.956756756756757,1.5567567567567568,3.362162162162162,0.13513513513513514,2.0,0
PRV51032,21,23,3,9,15,10,5,8,11,16,16,4,5,3,0,1,7,0,23,3,8186.086956521739,1099.6521739130435,1402.608695652174,423.9130434782609,235.65217391304347,2.1739130434782608,69.43478260869566,0.0,4.434782608695652,1.608695652173913,2.347826086956522,0.0,0.9130434782608695,0
PRV51035,25,30,8,8,18,18,4,11,18,22,24,10,7,8,1,0,7,1,30,4,3605.3333333333335,356.0,1332.0,439.3333333333333,1085.3333333333333,47.6,73.76666666666667,0.4666666666666667,4.933333333333334,1.6333333333333333,2.4,0.03333333333333333,2.2666666666666666,0
PRV51036,131,278,44,99,159,109,31,95,132,201,201,95,82,19,0,0,44,0,278,27,5654.3165467625895,585.0935251798561,2070.5755395683454,512.0863309352518,269.3525179856115,5.071942446043166,72.65827338129496,0.0,4.399280575539568,1.6115107913669064,2.615107913669065,0.0,1.0503597122302157,0
PRV51037,206,454,66,195,271,181,104,155,205,311,363,168,132,29,23,10,117,23,454,59,3989.911894273128,644.7136563876652,2154.0308370044054,573.7444933920705,753.8105726872246,56.220264317180614,71.89867841409692,0.23127753303964757,4.656387665198238,1.5330396475770924,2.986784140969163,0.028634361233480177,1.5330396475770924,1
PRV51038,107,141,32,70,88,65,27,43,63,109,112,46,46,14,30,1,49,30,140,15,4961.276595744681,628.6808510638298,2191.1347517730496,622.9787234042553,1882.9078014184397,221.21985815602838,71.56028368794327,0.8581560283687943,4.843971631205674,1.5319148936170213,3.3191489361702127,0.10638297872340426,1.7801418439716312,0
PRV51040,69,86,13,35,54,33,7,25,41,63,66,21,20,11,9,1,26,9,85,5,7919.53488372093,574.7441860465116,2433.0232558139537,601.8604651162791,865.9302325581396,102.13953488372093,71.17441860465117,1.1046511627906976,4.372093023255814,1.5348837209302326,3.453488372093023,0.08139534883720931,1.6627906976744187,0
PRV51041,31,34,3,16,17,7,10,10,15,22,24,7,9,2,0,0,4,0,34,5,1373.5294117647059,251.2941176470588,2287.6470588235293,613.8235294117648,217.94117647058823,7.9411764705882355,70.41176470588235,0.0,4.088235294117647,1.5,2.5294117647058822,0.0,2.3529411764705883,0
PRV51042,128,142,22,50,74,58,20,41,56,87,108,33,38,13,0,0,37,0,142,16,4791.478873239436,488.8732394366197,2390.4225352112676,683.943661971831,338.38028169014086,2.183098591549296,72.59859154929578,0.0,4.070422535211268,1.6338028169014085,2.4859154929577465,0.0,1.232394366197183,0
PRV51043,20,23,1,8,16,7,3,8,9,18,15,9,5,0,0,0,4,0,23,0,3136.9565217391305,371.4782608695652,1605.2173913043478,550.4347826086956,194.7826086956522,0.0,74.17391304347827,0.0,4.260869565217392,1.5217391304347827,1.9130434782608696,0.0,0.0,0
PRV51044,39,59,8,22,34,30,7,19,22,35,50,22,21,4,0,0,13,0,59,10,3621.6949152542375,367.1186440677966,2770.508474576271,968.1355932203389,361.52542372881356,2.2033898305084745,69.15254237288136,0.0,4.508474576271187,1.6610169491525424,2.389830508474576,0.0,2.152542372881356,0
PRV51045,29,31,6,16,17,15,3,15,13,23,23,6,6,2,0,0,5,0,31,7,3838.3870967741937,516.7741935483871,1972.9032258064517,548.0645161290323,270.64516129032256,1.2903225806451613,71.3225806451613,0.0,4.483870967741935,1.6774193548387097,2.6451612903225805,0.0,2.2580645161290325,0
PRV51046,26,38,4,14,21,12,13,15,18,31,35,15,17,3,8,0,13,8,38,3,5885.789473684211,562.1052631578947,2156.5789473684213,673.1578947368421,2878.157894736842,227.47368421052633,72.07894736842105,0.9473684210526315,5.105263157894737,1.763157894736842,3.473684210526316,0.13157894736842105,1.631578947368421,0
PRV51047,11,11,0,3,6,4,0,4,4,7,7,3,4,1,0,0,3,0,11,3,4106.363636363636,661.0909090909091,1662.7272727272727,692.7272727272727,230.0,0.0,70.54545454545455,0.0,3.909090909090909,1.6363636363636365,2.0,0.0,3.090909090909091,0
PRV51048,33,38,4,22,22,14,5,13,20,32,31,8,19,1,4,0,9,4,38,2,4223.684210526316,449.6842105263158,2144.4736842105262,560.7894736842105,728.9473684210526,114.52631578947368,70.28947368421052,0.5,4.921052631578948,1.5263157894736843,2.9473684210526314,0.07894736842105263,0.6052631578947368,0
PRV51049,65,71,17,33,45,30,13,34,33,49,44,22,21,7,0,0,17,0,71,9,2363.6619718309857,530.9859154929577,3230.9859154929577,1044.0845070422536,305.9154929577465,2.676056338028169,70.64788732394366,0.0,4.661971830985915,1.5211267605633803,2.5774647887323945,0.0,1.7887323943661972,0
PRV51052,37,46,9,15,29,18,6,12,19,27,32,15,13,5,2,0,14,2,46,7,2940.4347826086955,417.9130434782609,2126.7391304347825,499.3478260869565,669.5652173913044,51.0,71.56521739130434,0.391304347826087,4.1521739130434785,1.4565217391304348,3.282608695652174,0.021739130434782608,2.282608695652174,1
PRV51053,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,8000.0,1068.0,90.0,0.0,8000.0,1068.0,68.0,5.0,4.0,3.0,9.0,1.0,5.0,0
PRV51054,40,57,9,21,28,25,2,20,24,29,29,6,7,6,0,0,13,0,57,12,2494.7368421052633,206.10526315789474,2455.964912280702,875.7894736842105,265.43859649122805,2.456140350877193,70.33333333333333,0.0,3.456140350877193,1.5087719298245614,2.491228070175439,0.0,2.3508771929824563,0
PRV51055,22,22,5,10,15,8,4,8,13,11,17,7,7,3,2,0,6,2,22,1,5162.272727272727,436.90909090909093,1344.090909090909,502.27272727272725,983.6363636363636,100.27272727272727,68.72727272727273,0.5,4.681818181818182,1.5909090909090908,3.6363636363636362,0.09090909090909091,0.5909090909090909,0
PRV51056,21,22,7,10,13,15,5,6,12,20,18,12,6,5,2,0,8,2,22,4,6709.545454545455,1019.4545454545455,3560.4545454545455,961.3636363636364,668.1818181818181,97.54545454545455,76.68181818181819,0.2727272727272727,5.545454545454546,1.8636363636363635,2.8181818181818183,0.09090909090909091,0.7272727272727273,0
PRV51057,4,5,0,0,4,1,2,1,0,1,5,0,2,0,0,0,1,0,5,0,12000.0,427.2,3138.0,874.0,1366.0,0.0,78.0,0.0,3.2,2.0,4.0,0.0,0.0,0
PRV51058,75,83,14,31,44,34,9,23,40,62,66,31,26,9,5,0,21,5,83,5,5430.240963855422,628.0481927710844,2156.144578313253,663.9759036144578,1289.5180722891566,66.74698795180723,73.43373493975903,0.4457831325301205,4.518072289156627,1.6144578313253013,3.3012048192771086,0.060240963855421686,1.3012048192771084,0
PRV51059,82,96,18,31,62,38,15,29,37,62,66,28,26,10,25,0,43,25,96,7,11978.854166666666,871.7916666666666,2192.0833333333335,394.7916666666667,4386.041666666667,280.625,74.11458333333333,1.7916666666666667,4.208333333333333,1.5833333333333333,4.083333333333333,0.25,2.4791666666666665,1
PRV51060,42,42,8,16,25,19,6,16,20,33,30,8,13,4,5,0,14,5,42,5,3784.285714285714,584.8571428571429,1463.5714285714287,562.8571428571429,1040.7142857142858,127.14285714285714,71.47619047619048,0.5714285714285714,4.523809523809524,1.4047619047619047,3.4047619047619047,0.0,2.3095238095238093,0
PRV51061,67,145,30,36,62,58,21,39,67,105,104,48,37,12,1,0,31,1,145,22,4060.0,522.951724137931,3303.3793103448274,844.0689655172414,378.8965517241379,9.158620689655173,76.93103448275862,0.05517241379310345,4.062068965517241,1.6413793103448275,2.5517241379310347,0.013793103448275862,2.393103448275862,0
PRV51062,166,397,107,175,241,190,68,120,204,295,283,153,101,51,3,0,88,3,397,51,7072.493702770781,629.5012594458439,2619.5465994962215,748.5642317380352,386.3476070528967,9.934508816120907,72.77833753148614,0.0327455919395466,4.738035264483627,1.5415617128463477,2.7455919395465993,0.012594458438287154,1.5969773299748111,0
PRV51063,115,149,35,63,91,68,19,44,65,105,116,38,41,16,0,1,42,0,149,17,4218.993288590604,344.0536912751678,3000.4026845637586,681.0402684563759,343.02013422818794,1.0738255033557047,69.38255033557047,0.0,4.469798657718121,1.167785234899329,2.51006711409396,0.0,1.610738255033557,0
PRV51064,227,303,63,110,191,139,39,107,145,221,239,101,92,41,36,1,84,36,303,40,4816.732673267326,574.6930693069307,2739.1419141914193,734.3894389438943,1189.1749174917493,128.54125412541254,72.92739273927393,0.6303630363036303,4.702970297029703,1.5973597359735974,3.3795379537953796,0.0858085808580858,1.9504950495049505,1
PRV51065,26,28,3,12,19,10,1,9,16,20,23,6,5,7,10,0,16,10,27,3,5653.214285714285,719.8571428571429,1754.2857142857142,580.7142857142857,2734.6428571428573,347.2142857142857,75.28571428571429,2.0,4.571428571428571,1.6071428571428572,4.964285714285714,0.32142857142857145,2.9285714285714284,0
PRV51066,21,24,4,12,14,7,2,6,7,13,17,7,6,2,2,1,10,2,24,3,5000.0,442.1666666666667,1150.0,563.3333333333334,1032.9166666666667,93.16666666666667,68.54166666666667,0.16666666666666666,3.875,1.7083333333333333,3.2083333333333335,0.08333333333333333,1.0833333333333333,0
PRV51067,49,58,13,17,37,25,12,14,33,41,43,21,15,3,12,0,17,12,58,5,12108.965517241379,736.551724137931,1909.655172413793,341.8965517241379,5767.586206896552,225.79310344827587,68.03448275862068,1.3620689655172413,4.5,1.6206896551724137,3.9482758620689653,0.22413793103448276,2.310344827586207,1
PRV51068,214,261,34,99,150,101,39,72,105,186,182,78,76,31,9,3,73,9,260,36,2822.4137931034484,410.68199233716473,1907.9310344827586,572.2528735632184,548.8888888888889,34.42145593869732,70.6896551724138,0.10344827586206896,4.287356321839081,1.5862068965517242,2.89272030651341,0.011494252873563218,1.3754789272030652,0
PRV51070,69,99,18,29,54,36,17,23,38,70,74,24,16,12,10,0,31,10,99,11,5531.313131313132,528.6060606060606,2945.050505050505,791.3131313131313,1266.7676767676767,110.9090909090909,69.93939393939394,0.41414141414141414,3.9696969696969697,1.5454545454545454,3.01010101010101,0.06060606060606061,1.9090909090909092,0
PRV51071,24,24,1,12,14,8,2,9,14,18,21,10,5,4,0,0,4,0,24,3,4195.833333333333,267.0,2279.1666666666665,440.8333333333333,356.25,2.0833333333333335,68.41666666666667,0.0,4.875,1.4166666666666667,2.625,0.0,2.0833333333333335,0
PRV51072,160,212,35,76,118,94,25,75,74,157,160,73,70,18,12,4,55,12,211,21,4227.924528301887,634.0188679245283,2049.622641509434,600.2358490566038,562.122641509434,57.443396226415096,72.28301886792453,0.24056603773584906,4.433962264150943,1.5424528301886793,3.150943396226415,0.02830188679245283,1.5377358490566038,0
PRV51074,39,39,5,15,23,18,6,13,18,28,34,14,10,1,5,0,10,5,39,5,5348.717948717948,450.97435897435895,1971.7948717948718,662.8205128205128,1055.6410256410256,138.97435897435898,72.8974358974359,0.3333333333333333,4.615384615384615,1.6153846153846154,3.6923076923076925,0.02564102564102564,1.8974358974358974,0
PRV51075,13,17,2,3,6,4,7,4,10,14,16,3,8,1,0,0,2,0,17,1,2450.0,188.47058823529412,2908.823529411765,761.7647058823529,502.94117647058823,4.117647058823529,76.58823529411765,0.0,4.470588235294118,1.7058823529411764,2.3529411764705883,0.0,1.1764705882352942,0
PRV51076,27,29,6,13,17,12,8,5,11,22,26,9,11,4,0,1,5,0,29,2,4734.137931034483,532.8275862068965,2123.448275862069,566.551724137931,352.7586206896552,1.7241379310344827,75.72413793103448,0.0,4.758620689655173,1.5172413793103448,2.5172413793103448,0.0,1.1724137931034482,0
PRV51077,30,33,10,16,24,20,5,12,21,28,29,16,13,4,16,0,19,16,32,3,9130.30303030303,1035.6363636363637,2504.5454545454545,781.2121212121212,6192.424242424242,491.5151515151515,70.36363636363636,2.878787878787879,5.696969696969697,1.4545454545454546,5.0606060606060606,0.24242424242424243,4.181818181818182,1
PRV51078,23,23,4,7,14,7,3,8,10,16,16,7,5,4,9,0,13,9,22,1,4907.391304347826,650.0869565217391,952.6086956521739,370.8695652173913,3403.0434782608695,375.82608695652175,70.6086956521739,2.608695652173913,4.217391304347826,1.608695652173913,4.913043478260869,0.34782608695652173,2.652173913043478,0
PRV51081,131,200,51,96,128,104,17,54,87,134,164,57,55,27,6,1,43,6,200,27,4745.05,421.86,2594.9,767.15,620.4,35.84,72.27,0.18,4.615,1.195,3.04,0.045,1.62,0
PRV51082,31,34,7,14,15,13,2,6,12,29,22,8,7,3,0,0,6,0,34,2,6767.058823529412,376.94117647058823,5270.882352941177,601.0294117647059,160.88235294117646,2.0588235294117645,72.67647058823529,0.0,3.8529411764705883,1.5,2.588235294117647,0.0,1.1764705882352942,0
PRV51083,81,90,13,37,55,43,13,28,47,65,73,30,23,10,0,0,28,0,90,10,4015.8888888888887,401.2,2090.0,519.1111111111111,201.11111111111111,1.5555555555555556,74.8,0.0,4.711111111111111,1.5333333333333334,2.577777777777778,0.0,1.3777777777777778,0
PRV51084,85,110,10,51,65,42,9,29,38,87,82,28,43,14,20,0,40,20,110,7,5070.0,591.6363636363636,1378.0,396.6363636363636,1959.8181818181818,199.0,72.42727272727272,1.0272727272727273,4.4363636363636365,1.6181818181818182,3.3363636363636364,0.12727272727272726,1.6727272727272726,1
PRV51086,115,139,31,46,79,66,21,47,63,100,109,34,39,10,31,2,55,31,139,18,6954.3165467625895,613.2086330935252,2327.1942446043167,817.2661870503597,3209.856115107914,238.61870503597123,74.6978417266187,1.079136690647482,4.41726618705036,1.683453237410072,4.2086330935251794,0.17266187050359713,2.7985611510791366,0
PRV51089,197,228,53,77,129,103,33,68,102,152,169,79,65,24,18,2,60,18,227,26,6256.798245614035,607.9824561403509,2025.482456140351,612.4122807017544,1012.719298245614,82.0,71.03947368421052,0.40789473684210525,4.390350877192983,1.5657894736842106,3.1140350877192984,0.07456140350877193,1.6929824561403508,0
PRV51090,7,7,0,1,2,2,3,1,2,6,5,3,5,0,0,0,2,0,7,2,714.2857142857143,152.57142857142858,2831.4285714285716,735.7142857142857,832.8571428571429,8.571428571428571,71.71428571428571,0.0,4.285714285714286,1.2857142857142858,2.4285714285714284,0.0,5.714285714285714,0
PRV51091,44,44,5,12,29,14,5,15,24,29,36,12,16,6,0,1,6,0,44,3,7451.363636363636,715.8181818181819,2429.090909090909,629.0454545454545,210.6818181818182,1.8181818181818181,69.04545454545455,0.0,4.5,1.6590909090909092,3.090909090909091,0.0,0.9318181818181818,0
PRV51093,9,9,1,3,4,4,1,4,4,6,8,4,3,1,2,0,3,2,9,1,4688.888888888889,593.3333333333334,900.0,326.6666666666667,1523.3333333333333,237.33333333333334,75.55555555555556,1.3333333333333333,4.666666666666667,1.8888888888888888,4.0,0.2222222222222222,1.4444444444444444,0
PRV51096,5,5,2,3,4,3,0,1,3,4,3,2,1,0,0,0,1,0,5,1,4800.0,854.4,3372.0,1004.0,640.0,20.0,85.2,0.0,4.8,1.4,1.6,0.0,4.0,0
PRV51097,71,125,28,47,51,42,18,34,41,90,95,39,24,9,0,0,24,0,125,18,3302.88,397.824,3009.44,768.16,355.36,1.84,70.816,0.0,3.92,1.608,2.584,0.0,1.744,0
PRV51098,4,4,2,0,4,2,1,2,2,4,4,1,3,1,0,0,1,0,4,0,15500.0,1335.0,2297.5,580.0,75.0,0.0,81.75,0.0,6.0,1.5,3.25,0.0,0.0,0
PRV51100,5,5,1,1,4,2,0,1,1,3,4,0,2,0,5,1,5,5,5,0,15738.0,1068.0,742.0,236.0,15600.0,1068.0,70.6,6.0,3.6,2.2,8.6,0.8,6.0,0
PRV51101,3,3,1,2,3,3,0,1,1,2,3,2,1,1,3,0,3,3,3,0,9200.0,1780.0,173.33333333333334,110.0,5533.333333333333,1068.0,57.0,3.3333333333333335,6.333333333333333,1.3333333333333333,7.333333333333333,0.3333333333333333,3.3333333333333335,0
PRV51102,11,12,3,4,8,8,1,3,4,9,11,1,6,2,12,0,12,12,12,0,14833.333333333334,1424.0,739.1666666666666,153.33333333333334,12333.333333333334,1068.0,79.83333333333333,4.0,4.75,1.9166666666666667,8.333333333333334,0.9166666666666666,4.0,0
PRV51103,4,6,0,3,4,6,0,3,5,6,6,4,6,0,0,0,3,0,6,0,1333.3333333333333,178.0,1138.3333333333333,478.3333333333333,73.33333333333333,10.0,76.66666666666667,0.0,7.166666666666667,1.1666666666666667,1.3333333333333333,0.0,0.0,1
PRV51104,9,12,2,7,10,3,0,6,5,9,11,5,4,0,0,0,1,0,12,1,2750.0,356.0,1849.1666666666667,405.0,158.33333333333334,9.166666666666666,78.91666666666667,0.0,5.0,1.5,2.3333333333333335,0.0,1.1666666666666667,0
PRV51105,12,12,2,6,10,7,3,4,5,11,8,4,3,0,0,0,1,0,12,2,8048.333333333333,534.0,4275.0,974.1666666666666,545.0,0.0,76.08333333333333,0.0,5.083333333333333,1.5,2.3333333333333335,0.0,3.3333333333333335,0
PRV51108,19,19,4,11,13,13,4,11,9,16,17,10,4,5,19,0,19,19,18,0,13471.052631578947,2184.4210526315787,2044.2105263157894,477.89473684210526,8210.526315789473,1011.7894736842105,71.89473684210526,5.2631578947368425,5.947368421052632,1.263157894736842,7.578947368421052,0.3157894736842105,5.2631578947368425,0
PRV51109,3,3,0,2,2,3,0,2,3,3,3,3,3,1,3,0,3,3,3,0,7833.333333333333,1780.0,1070.0,676.6666666666666,6000.0,1068.0,56.0,6.333333333333333,8.333333333333334,2.0,8.666666666666666,1.3333333333333333,6.333333333333333,0
PRV51110,5,5,2,3,4,4,0,1,4,5,5,1,1,0,5,0,5,5,5,0,5456.0,1281.6,1188.0,274.0,5400.0,1068.0,67.6,10.2,5.6,1.8,9.4,0.8,10.2,0
PRV51111,85,132,35,49,72,69,27,38,54,101,91,38,36,18,0,0,26,0,132,20,2891.212121212121,372.1818181818182,3962.121212121212,1025.378787878788,415.6060606060606,1.5151515151515151,72.70454545454545,0.0,4.492424242424242,1.5151515151515151,2.840909090909091,0.0,2.462121212121212,0
PRV51112,195,304,58,114,171,131,42,87,119,223,221,97,99,22,0,10,68,0,304,47,4266.2171052631575,398.9342105263158,3500.4934210526317,859.6875,346.2171052631579,2.664473684210526,71.28289473684211,0.0,4.3618421052631575,1.674342105263158,2.651315789473684,0.0,1.8453947368421053,0
PRV51113,78,132,31,48,69,54,15,47,36,96,106,40,46,5,0,6,28,0,132,19,2906.6666666666665,356.0,3128.560606060606,767.3484848484849,351.43939393939394,4.166666666666667,71.32575757575758,0.0,4.257575757575758,1.6515151515151516,2.75,0.007575757575757576,1.5454545454545454,0
PRV51114,160,262,56,90,166,101,35,84,107,202,201,76,95,18,0,6,74,0,262,30,3903.587786259542,507.64885496183206,2914.8473282442746,713.5114503816794,292.82442748091603,2.1374045801526718,70.32442748091603,0.0,4.484732824427481,1.4923664122137406,2.4732824427480917,0.0,1.1984732824427482,0
PRV51115,6,7,1,3,3,2,1,3,5,6,4,0,2,0,0,0,2,0,7,0,4142.857142857143,762.8571428571429,1530.0,474.2857142857143,140.0,2.857142857142857,72.57142857142857,0.0,4.142857142857143,1.5714285714285714,1.8571428571428572,0.0,0.0,0
PRV51117,10,12,5,3,12,7,5,5,5,11,12,3,5,1,0,0,2,0,12,2,5791.666666666667,534.0,4857.5,701.6666666666666,162.5,0.0,68.41666666666667,0.0,5.75,1.25,2.3333333333333335,0.0,1.75,0
PRV51118,16,16,1,4,12,8,2,7,8,13,13,8,4,2,16,0,16,16,14,0,21635.0,1847.75,7256.25,450.3125,8500.0,934.5,67.1875,4.25,5.0625,1.8125,7.8125,0.875,4.25,0
PRV51119,81,95,22,47,68,52,21,44,50,75,82,31,27,12,94,1,95,94,91,1,23562.315789473683,2028.8842105263159,4823.0526315789475,506.36842105263156,11374.526315789473,1020.8947368421053,74.86315789473684,5.91578947368421,5.3578947368421055,1.7578947368421052,8.031578947368422,0.7894736842105263,6.042105263157895,1
PRV51120,7,7,3,4,6,3,2,2,3,6,5,2,1,1,7,0,7,7,7,0,13302.857142857143,1487.4285714285713,470.0,145.71428571428572,7428.571428571428,1068.0,60.857142857142854,4.142857142857143,5.0,1.5714285714285714,9.142857142857142,0.7142857142857143,4.142857142857143,0
